ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Usages,Type,Condition,Examples
rmt-P_Marking_Type,rmt,P_Marking_Type,differential,,,,,,,
rmt-P_Marking_Contrast,rmt,P_Marking_Contrast,zero_nonzero,,,,,,,
rmt-P_Local_or_Global,rmt,P_Local_or_Global,local,,,,,,,
rmt-P_Split_or_Fluid,rmt,P_Split_or_Fluid,split,,,,,,,
rmt-P_TAM_DM,rmt,P_TAM_DM,no,,,,,,,
rmt-P_WO_DM,rmt,P_WO_DM,no,,,,,,,
rmt-P_Other_DM,rmt,P_Other_DM,no,,,,,,,
rmt-P_Animacy_Scale,rmt,P_Animacy_Scale,?,,,,,,,
rmt-P_Pronom_Scale,rmt,P_Pronom_Scale,fit,,,,,,,
rmt-P_Def_Scale,rmt,P_Def_Scale,fit,,,,,,,
rmt-P_Person_Scale,rmt,P_Person_Scale,none,,,,,,,
css-A_Marking_Type,css,A_Marking_Type,none,,,,,,,
css-A_Marking_Contrast,css,A_Marking_Contrast,?,,,,,,,
css-A_Local_or_Global,css,A_Local_or_Global,?,,,,,,,
css-A_Split_or_Fluid,css,A_Split_or_Fluid,?,,,,,,,
css-A_TAM_DM,css,A_TAM_DM,?,,,,,,,
css-A_WO_DM,css,A_WO_DM,?,,,,,,,
css-A_Other_DM,css,A_Other_DM,?,,,,,,,
css-A_Animacy_Scale,css,A_Animacy_Scale,?,,,,,,,
css-A_Pronom_Scale,css,A_Pronom_Scale,?,,,,,,,
css-A_Def_Scale,css,A_Def_Scale,?,,,,,,,
css-A_Person_Scale,css,A_Person_Scale,?,,,,,,,
css-P_Marking_Type,css,P_Marking_Type,differential,,,,,,,
css-P_Marking_Contrast,css,P_Marking_Contrast,zero_nonzero,,,,,,,
css-P_Local_or_Global,css,P_Local_or_Global,local,,,,,,,
css-P_Split_or_Fluid,css,P_Split_or_Fluid,split,,,,,,,
css-P_TAM_DM,css,P_TAM_DM,yes,,,,,,,
css-P_WO_DM,css,P_WO_DM,no,,,,,,,
css-P_Other_DM,css,P_Other_DM,no,,,,,,,
css-P_Animacy_Scale,css,P_Animacy_Scale,?,,,,,,,
css-P_Pronom_Scale,css,P_Pronom_Scale,?,,,,,,,
css-P_Def_Scale,css,P_Def_Scale,?,,,,,,,
css-P_Person_Scale,css,P_Person_Scale,?,,,,,,,
ybh-A_Marking_Type,ybh,A_Marking_Type,differential,,,,,,,
ybh-A_Marking_Contrast,ybh,A_Marking_Contrast,zero_nonzero,,,,,,,
ybh-A_Local_or_Global,ybh,A_Local_or_Global,local,,,,,,,
ybh-A_Split_or_Fluid,ybh,A_Split_or_Fluid,split,,,,,,,
ybh-A_TAM_DM,ybh,A_TAM_DM,no,,,,,,,
ybh-A_WO_DM,ybh,A_WO_DM,no,,,,,,,
ybh-A_Other_DM,ybh,A_Other_DM,no,,,,,,,
ybh-A_Animacy_Scale,ybh,A_Animacy_Scale,none,,,,,,,
ybh-A_Pronom_Scale,ybh,A_Pronom_Scale,fit,,,,,,,
ybh-A_Def_Scale,ybh,A_Def_Scale,none,,,,,,,
ybh-A_Person_Scale,ybh,A_Person_Scale,fit,,,,,,,
ybh-P_Marking_Type,ybh,P_Marking_Type,none,,,,,,,
ybh-P_Marking_Contrast,ybh,P_Marking_Contrast,?,,,,,,,
ybh-P_Local_or_Global,ybh,P_Local_or_Global,?,,,,,,,
ybh-P_Split_or_Fluid,ybh,P_Split_or_Fluid,?,,,,,,,
ybh-P_TAM_DM,ybh,P_TAM_DM,?,,,,,,,
ybh-P_WO_DM,ybh,P_WO_DM,?,,,,,,,
ybh-P_Other_DM,ybh,P_Other_DM,?,,,,,,,
ybh-P_Animacy_Scale,ybh,P_Animacy_Scale,?,,,,,,,
ybh-P_Pronom_Scale,ybh,P_Pronom_Scale,?,,,,,,,
ybh-P_Def_Scale,ybh,P_Def_Scale,?,,,,,,,
ybh-P_Person_Scale,ybh,P_Person_Scale,?,,,,,,,
mem-A_Marking_Type,mem,A_Marking_Type,differential,,,,,,,
mem-A_Marking_Contrast,mem,A_Marking_Contrast,zero_nonzero,,,,,,,
mem-A_Local_or_Global,mem,A_Local_or_Global,local,,,,,,,
mem-A_Split_or_Fluid,mem,A_Split_or_Fluid,fluid,,,,,,,
mem-A_TAM_DM,mem,A_TAM_DM,no,,,,,,,
mem-A_WO_DM,mem,A_WO_DM,no,,,,,,,
mem-A_Other_DM,mem,A_Other_DM,no,,,,,,,
mem-A_Animacy_Scale,mem,A_Animacy_Scale,none,,,,,,,
mem-A_Pronom_Scale,mem,A_Pronom_Scale,none,,,,,,,
mem-A_Def_Scale,mem,A_Def_Scale,none,,,,,,,
mem-A_Person_Scale,mem,A_Person_Scale,none,,,,,,,
mem-P_Marking_Type,mem,P_Marking_Type,none,,,,,,,
mem-P_Marking_Contrast,mem,P_Marking_Contrast,?,,,,,,,
mem-P_Local_or_Global,mem,P_Local_or_Global,?,,,,,,,
mem-P_Split_or_Fluid,mem,P_Split_or_Fluid,?,,,,,,,
mem-P_TAM_DM,mem,P_TAM_DM,?,,,,,,,
mem-P_WO_DM,mem,P_WO_DM,?,,,,,,,
mem-P_Other_DM,mem,P_Other_DM,?,,,,,,,
mem-P_Animacy_Scale,mem,P_Animacy_Scale,?,,,,,,,
mem-P_Pronom_Scale,mem,P_Pronom_Scale,?,,,,,,,
mem-P_Def_Scale,mem,P_Def_Scale,?,,,,,,,
mem-P_Person_Scale,mem,P_Person_Scale,?,,,,,,,
kor-A_Marking_Type,kor,A_Marking_Type,differential,,,,,,,
kor-A_Marking_Contrast,kor,A_Marking_Contrast,zero_nonzero,,,,,,,
kor-A_Local_or_Global,kor,A_Local_or_Global,local,,,,,,,
kor-A_Split_or_Fluid,kor,A_Split_or_Fluid,split-fluid,,,,,,,
kor-A_TAM_DM,kor,A_TAM_DM,no,,,,,,,
kor-A_WO_DM,kor,A_WO_DM,no,,,,,,,
kor-A_Other_DM,kor,A_Other_DM,no,,,,,,,
kor-A_Animacy_Scale,kor,A_Animacy_Scale,fit,,,,,,,
kor-A_Pronom_Scale,kor,A_Pronom_Scale,fit,,,,,,,
kor-A_Def_Scale,kor,A_Def_Scale,none,,,,,,,
kor-A_Person_Scale,kor,A_Person_Scale,fit,,,,,,,
kor-P_Marking_Type,kor,P_Marking_Type,differential,,,,,,,
kor-P_Marking_Contrast,kor,P_Marking_Contrast,zero_nonzero,,,,,,,
kor-P_Local_or_Global,kor,P_Local_or_Global,local,,,,,,,
kor-P_Split_or_Fluid,kor,P_Split_or_Fluid,split-fluid,,,,,,,
kor-P_TAM_DM,kor,P_TAM_DM,no,,,,,,,
kor-P_WO_DM,kor,P_WO_DM,no,,,,,,,
kor-P_Other_DM,kor,P_Other_DM,no,,,,,,,
kor-P_Animacy_Scale,kor,P_Animacy_Scale,fit,,,,,,,
kor-P_Pronom_Scale,kor,P_Pronom_Scale,fit,,,,,,,
kor-P_Def_Scale,kor,P_Def_Scale,fit,,,,,,,
kor-P_Person_Scale,kor,P_Person_Scale,fit,,,,,,,
ude-A_Marking_Type,ude,A_Marking_Type,none,,,,,,,
ude-A_Marking_Contrast,ude,A_Marking_Contrast,?,,,,,,,
ude-A_Local_or_Global,ude,A_Local_or_Global,?,,,,,,,
ude-A_Split_or_Fluid,ude,A_Split_or_Fluid,?,,,,,,,
ude-A_TAM_DM,ude,A_TAM_DM,?,,,,,,,
ude-A_WO_DM,ude,A_WO_DM,?,,,,,,,
ude-A_Other_DM,ude,A_Other_DM,?,,,,,,,
ude-A_Animacy_Scale,ude,A_Animacy_Scale,?,,,,,,,
ude-A_Pronom_Scale,ude,A_Pronom_Scale,?,,,,,,,
ude-A_Def_Scale,ude,A_Def_Scale,?,,,,,,,
ude-A_Person_Scale,ude,A_Person_Scale,?,,,,,,,
